ID,SMILES,ExperimentResult
1,O=C1C[C@@H](C)[C@]2(C)CC(CCC2=C1)=C(C)C,1
2,CC1=CC(C[C@@H](C)[C@]1(C2)CCC2=C(C)C)=O,1
3,C[C@@H]1CCC=C(CC/2)[C@@]1(C)CC2=C(C)\CO,2
4,O=C(CCCCCCCCCCC1)OCCOC1=O,1
5,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]3(C)[C@@H]2CCO3,1
6,C[C@@]1(CC2)[C@]3(O)C(C)(C)[C@H]2C[C@H]1[C@@H](C)CC3,2
7,C=C1CC/C=C(C)/CC[C@@H]2[C@@H]1CC2(C)C,1
8,CC1=CC(C(C)(C)[C@H](C)CC2(C)C)=C2C=C1C(C)=O,1
9,Br[C@@H](CO)[C@](CC[C@H](Br)C(Br)(C)C)(Br)C,1
10,C[C@@](CC[C@H](Br)C(Br)(C)C)(Br)[C@H](Br)CO,1
11,CCC[C@H](SC(C1=CC(Br)=CC=C1)=O)CCOC(C2=CC(Br)=CC=C2)=O,1
12,CC(C)[C@H]1[C@H]2[C@](CC1)(C)[C@H]3[C@@H]2C(CBr)=CC3,1
13,C[C@@]1(O)[C@@H](Br)C[C@H](C(C)=C)CC1,1
14,CCCCNc1ccc(cc1)C(=O)OCCN(C)C,2
15,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC,2
16,CC1(C)[C@@H]2[C@H]1CC=C(C)C2,1
17,CN1[C@H]2CC[C@@H]1C[C@H](OC(C(CO)C3=CC=CC=C3)=O)C2,2
18,O=C(N[C@H](C(N[C@@H](C1=CC=CC=C1)C(OC(C)(C)C)=O)=O)C)CC2=CC(F)=CC(F)=C2,2
19,CC1=C(NC(CN(CC)CC)=O)C(C)=CC=C1,2
20,O[C@H](/C=C\C#CC#CC1=CN(CC2=CC=CC=C2)N=N1)[C@H](O3)[C@@H]3[C@H](O)[C@H]4OC(CC4)=O,2
21,O[C@H](/C=C/C#CC#CC1=CN(CC2=CC=CC=C2)N=N1)[C@H](O3)[C@@H]3[C@H](O)[C@H]4OC(CC4)=O,2
22,IC1=C(C(C)(C)OSC(F)(F)F)C=CC=C1,1
24,C[C@H]1C[C@@H](OC(C)=O)[C@H](C(C)C)CC1,2
25,CC1=C(C)[C@]([C@]2=C(O)C=CC(C)=C2C)=C(O)C=C1,1
27,CC(C)C1=CC=C2C(C=CC=C2)=[C@@]1[C@@]3=CSC(C)=C3C,1
29,C12=CC=CC=C1N3C(C4=NC5=C(C=CC=C5)N4CC/C=C/CC3)=N2,1
31,O=C1N(C)C(C(N(C)C=N2)=C2N1C)=O,1
32,NC1=C2C(C=CC=N2)=CC=C1,1
35,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,2
36,COC1=CC=C2C(NC(S(CC3=C(C)C(OC)=C(C)C=N3)=O)=N2)=C1,2
37,NC1=CC=C(S(C2=CC=C(N)C=C2)(=O)=O)C=C1,2
39,ClC1=C(N)C=C(OC)C(C(NCCN(CC)CC)=O)=C1,2
40,ClC1=CC=C2C(N(CCCN(C)C)C(C=CC=C3)=C3S2)=C1,2
41,O=C1C(C2CCC(NC2=O)=O)C(C3=CC=CC=C31)=O,2
42,CC1=C(C(OC)=O)C(C(C(OC)=O)=C(C)N1)C2=C([N+]([O-])=O)C=CC=C2,2
43,ClC1=C([C@@H](C(OC)=O)N2CCC(SC=C3)=C3C2)C=CC=C1,2
44,O=C(C(C)=C1)NC(N1[C@@H]2O[C@H](CO)[C@@H](N=[N+]=[N-])C2)=O,2
45,OCC(C(OC1CC(N2C)CCC2C1)=O)C3=CC=CC=C3,2
46,CN(C)CCCN1C(C=CC=C2)=C2CCC3=C1C=CC=C3,2
47,ClC1=CC=C(NC(O[C@]2(C#CC3CC3)C(F)(F)F)=O)C2=C1,2
48,CN(CCC1)[C@@H]1C2=CC=CN=C2,0
49,CC1=C2C(C=C1)=C(C)C=CC(C(C)C)=C2,1
50,O=C1[C@@H](C)[C@]([C@]2([H])O1)([H])CC[C@@](C2=C3C)(C)C=CC3=O,1
51,O=C(C=C(C1=CC(OC)=C(OC)C=C1)O2)C3=C2C(OC)=C(OC)C(OC)=C3OC,1
52,O=C(C=C(C1=CC=C(OC)C=C1)O2)C3=C2C(OC)=C(OC)C(OC)=C3OC,1
53,O=C(C(OC)=C(C1=CC(OC)=C(OC)C=C1)O2)C3=C2C(OC)=C(OC)C(OC)=C3OC,1
54,NC1=C(C(C)C)C=CC=C1C(C)C,1
55,O=CC1=CC=C([N+]([O-])=O)C=C1,1
56,O=C/C=C/C1=CC=CC=C1,1
57,O=C([C@@]1(C2C34)[C@@H]3[C@H]5C4(C(OC)=O)C2[C@H]51)OC,1
58,BrC1=CC2=CC=CC=C2C3=C1C=CC=C3,1
60,COC1=CC=C(/C=C/C)C=C1,2
62,CC(C(C)(C)O1)(C)OB1C(B2OC(C)(C)C(C)(C)O2)CCC3=CC=CC=C3,1
63,CC(C(C)(C)O1)(C)OB1[C@@H](CCCCC)[C@H](B2OC(C)(C)C(C)(C)O2)C,1
64,CC(C(C)(C)O1)(C)OB1[C@@H](CCCCC)[C@@H](B2OC(C)(C)C(C)(C)O2)C,1
65,O=C(C(C#N)=C1)C=C(C1(C#C)C2)C3=C2C=CC=C3,1
67,O[C@H]1CCC2=C(OC)C=CC=C2[C@H]1C(OC)=O,1
68,O=C1CC[C@@]2(C)C(CCC([C@@](CC[C@@H]3O)([H])[C@]3(C)C4)[C@]2([H])C4=O)=C1,1
69,CC1CCCC2(C1CC(CC2)C(C)C)C,1
71,C1OOC(O1)c2ccccc2,1
72,O1O[C@@H](O[C@@H]1c2ccccc2)c3ccccc3,1
73,O1O[C@H](O[C@@H]1c2ccccc2)c3ccccc3,1
74,C1C[C@H]2OOC(C1)O2,1
75,c1ccccc1,1
76,Fc1ccc(C=O)cc1,1
