Model,Descriptor,True_Class,Predicted_Class,Count
Logistic Regression,Avalon,0,0,29
Logistic Regression,Avalon,0,1,21
Logistic Regression,Avalon,0,2,20
Logistic Regression,Avalon,1,0,13
Logistic Regression,Avalon,1,1,90
Logistic Regression,Avalon,1,2,22
Logistic Regression,Avalon,2,0,21
Logistic Regression,Avalon,2,1,33
Logistic Regression,Avalon,2,2,51
Logistic Regression,MACCS,0,0,32
Logistic Regression,MACCS,0,1,19
Logistic Regression,MACCS,0,2,19
Logistic Regression,MACCS,1,0,15
Logistic Regression,MACCS,1,1,87
Logistic Regression,MACCS,1,2,23
Logistic Regression,MACCS,2,0,11
Logistic Regression,MACCS,2,1,33
Logistic Regression,MACCS,2,2,61
Logistic Regression,Mordred,0,0,28
Logistic Regression,Mordred,0,1,12
Logistic Regression,Mordred,0,2,30
Logistic Regression,Mordred,1,0,13
Logistic Regression,Mordred,1,1,91
Logistic Regression,Mordred,1,2,21
Logistic Regression,Mordred,2,0,15
Logistic Regression,Mordred,2,1,30
Logistic Regression,Mordred,2,2,60
Logistic Regression,Morgan,0,0,24
Logistic Regression,Morgan,0,1,19
Logistic Regression,Morgan,0,2,27
Logistic Regression,Morgan,1,0,6
Logistic Regression,Morgan,1,1,88
Logistic Regression,Morgan,1,2,31
Logistic Regression,Morgan,2,0,13
Logistic Regression,Morgan,2,1,35
Logistic Regression,Morgan,2,2,57
Logistic Regression,RDKit,0,0,28
Logistic Regression,RDKit,0,1,19
Logistic Regression,RDKit,0,2,23
Logistic Regression,RDKit,1,0,8
Logistic Regression,RDKit,1,1,100
Logistic Regression,RDKit,1,2,17
Logistic Regression,RDKit,2,0,17
Logistic Regression,RDKit,2,1,29
Logistic Regression,RDKit,2,2,59
MLP,Avalon,0,0,27
MLP,Avalon,0,1,22
MLP,Avalon,0,2,21
MLP,Avalon,1,0,15
MLP,Avalon,1,1,89
MLP,Avalon,1,2,21
MLP,Avalon,2,0,17
MLP,Avalon,2,1,38
MLP,Avalon,2,2,50
MLP,MACCS,0,0,35
MLP,MACCS,0,1,18
MLP,MACCS,0,2,17
MLP,MACCS,1,0,18
MLP,MACCS,1,1,90
MLP,MACCS,1,2,17
MLP,MACCS,2,0,21
MLP,MACCS,2,1,28
MLP,MACCS,2,2,56
MLP,Mordred,0,0,31
MLP,Mordred,0,1,18
MLP,Mordred,0,2,21
MLP,Mordred,1,0,9
MLP,Mordred,1,1,95
MLP,Mordred,1,2,21
MLP,Mordred,2,0,18
MLP,Mordred,2,1,25
