Model,Descriptor,Representative_Best_Params,Fold1_Best_Params,Fold2_Best_Params,Fold3_Best_Params,Fold4_Best_Params,Fold5_Best_Params
Logistic Regression,Avalon,"{""C"": 0.1}","{""C"": 1}","{""C"": 0.01}","{""C"": 0.1}","{""C"": 10}","{""C"": 0.1}"
Logistic Regression,MACCS,"{""C"": 0.1}","{""C"": 0.1}","{""C"": 1}","{""C"": 0.1}","{""C"": 0.1}","{""C"": 10}"
Logistic Regression,Mordred,"{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.1}"
Logistic Regression,Morgan,"{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.01}","{""C"": 0.1}","{""C"": 0.1}"
Logistic Regression,RDKit,"{""C"": 0.1}","{""C"": 0.1}","{""C"": 0.01}","{""C"": 0.1}","{""C"": 0.1}","{""C"": 0.1}"
MLP,Avalon,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,MACCS,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,Mordred,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Morgan,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}"
MLP,RDKit,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}","{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}","{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
