Model,Descriptor,Fold,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Params
Logistic Regression,RDKit,1,0.6166666666666667,0.6056116722783389,0.6166666666666667,0.6091949910554563,"{""C"": 0.1}"
Logistic Regression,RDKit,2,0.7166666666666667,0.7083333333333334,0.7166666666666667,0.7074592074592074,"{""C"": 0.01}"
Logistic Regression,RDKit,3,0.5833333333333334,0.5866666666666666,0.5833333333333334,0.5847525216983345,"{""C"": 0.1}"
Logistic Regression,RDKit,4,0.6,0.6316263440860215,0.6,0.5832059314954051,"{""C"": 0.1}"
Logistic Regression,RDKit,5,0.6,0.597962962962963,0.6,0.5783242258652095,"{""C"": 0.1}"
SVM,RDKit,1,0.6333333333333333,0.628357843137255,0.6333333333333333,0.616590319132692,"{""C"": 1, ""gamma"": ""auto""}"
SVM,RDKit,2,0.6833333333333333,0.6934375,0.6833333333333333,0.6733146613762788,"{""C"": 1, ""gamma"": ""scale""}"
SVM,RDKit,3,0.6333333333333333,0.6566434468524253,0.6333333333333333,0.6373525578364287,"{""C"": 10, ""gamma"": ""scale""}"
SVM,RDKit,4,0.55,0.5104166666666666,0.55,0.5201754385964912,"{""C"": 1, ""gamma"": ""scale""}"
SVM,RDKit,5,0.6,0.6036936517783291,0.6,0.5945499070499071,"{""C"": 10, ""gamma"": ""scale""}"
Random Forest,RDKit,1,0.5833333333333334,0.5676013003599211,0.5833333333333334,0.5697181340423673,"{""max_depth"": null, ""n_estimators"": 200}"
Random Forest,RDKit,2,0.6666666666666666,0.6846446078431373,0.6666666666666666,0.6602738331551891,"{""max_depth"": null, ""n_estimators"": 200}"
Random Forest,RDKit,3,0.6333333333333333,0.641064491064491,0.6333333333333333,0.6327332242225859,"{""max_depth"": 10, ""n_estimators"": 200}"
Random Forest,RDKit,4,0.6,0.5629629629629629,0.6,0.5769433465085639,"{""max_depth"": null, ""n_estimators"": 200}"
Random Forest,RDKit,5,0.65,0.6734375,0.65,0.6403508771929824,"{""max_depth"": null, ""n_estimators"": 200}"
