Model,Descriptor,Test_Accuracy,Test_Precision,Test_Recall,Test_F1
LR,Avalon,0.5666666666666667,0.5712165470694883,0.5666666666666667,0.5566461795328095
LR,MACCS,0.6,0.5953935231016613,0.6,0.5934349180327964
LR,Mordred,0.5966666666666667,0.5946267503901913,0.5966666666666667,0.5911888732410198
LR,Morgan,0.5633333333333334,0.5664565749220178,0.5633333333333334,0.5528885014107643
LR,RDKit,0.6233333333333333,0.6260401958654647,0.6233333333333333,0.6125873755147225
MLP,Avalon,0.5533333333333333,0.5617185923224698,0.5533333333333333,0.5410798085985526
MLP,MACCS,0.6033333333333333,0.6090679448901166,0.6033333333333333,0.6009405194844766
MLP,Mordred,0.6266666666666667,0.6203406090995571,0.6266666666666667,0.6185363724089976
MLP,Morgan,0.51,0.5106095017832684,0.51,0.49886771374587235
MLP,RDKit,0.6100000000000001,0.6111458186343244,0.6100000000000001,0.6044577450590944
RF,Avalon,0.58,0.5729462810759344,0.58,0.5566980740563154
RF,MACCS,0.6266666666666667,0.6176159415544288,0.6266666666666667,0.6169814552684169
RF,Mordred,0.6266666666666667,0.6274125787710544,0.6266666666666667,0.6174571089309052
RF,Morgan,0.5333333333333334,0.5431991235888295,0.5333333333333334,0.5098283514222176
RF,RDKit,0.6266666666666667,0.6259421724461024,0.6266666666666667,0.6160038830243377
SVM,Avalon,0.5833333333333333,0.5909048179059789,0.5833333333333333,0.5718132443041093
SVM,MACCS,0.6433333333333333,0.645806045747289,0.6433333333333333,0.6364857623568662
SVM,Mordred,0.5933333333333334,0.5867426014771466,0.5933333333333334,0.5791402144508152
SVM,Morgan,0.5766666666666667,0.5797044130411947,0.5766666666666667,0.5708643014682321
SVM,RDKit,0.62,0.6185098216869351,0.62,0.6083965767983596
kNN,Avalon,0.5366666666666667,0.5458213346251272,0.5366666666666667,0.536023276223873
kNN,MACCS,0.5033333333333333,0.4847993504873066,0.5033333333333333,0.48403026526129417
kNN,Mordred,0.6066666666666667,0.6282816761243871,0.6066666666666667,0.6104688705252015
kNN,Morgan,0.4766666666666667,0.5197544467544468,0.4766666666666667,0.4088719771392756
kNN,RDKit,0.5900000000000001,0.5929275981032275,0.5900000000000001,0.5882309310702085
