Model,Descriptor,True_class,Pred 0,Pred 1,Pred 2
Logistic Regression,RDKit,0,29,12,27
Logistic Regression,RDKit,1,9,86,18
Logistic Regression,RDKit,2,20,25,53
SVM,RDKit,0,29,21,18
SVM,RDKit,1,11,83,19
SVM,RDKit,2,12,23,63
Random Forest,RDKit,0,33,13,22
Random Forest,RDKit,1,6,89,18
Random Forest,RDKit,2,8,24,66
kNN,RDKit,0,28,17,23
kNN,RDKit,1,16,79,18
kNN,RDKit,2,16,21,61
MLP,RDKit,0,32,13,23
MLP,RDKit,1,8,83,22
MLP,RDKit,2,19,22,57
Logistic Regression,Mordred,0,35,11,22
Logistic Regression,Mordred,1,9,83,21
Logistic Regression,Mordred,2,16,20,62
SVM,Mordred,0,34,14,20
SVM,Mordred,1,11,87,15
SVM,Mordred,2,14,27,57
Random Forest,Mordred,0,34,10,24
Random Forest,Mordred,1,6,92,15
Random Forest,Mordred,2,6,30,62
kNN,Mordred,0,37,11,20
kNN,Mordred,1,18,74,21
kNN,Mordred,2,20,22,56
MLP,Mordred,0,39,11,18
MLP,Mordred,1,14,79,20
MLP,Mordred,2,23,19,56
Logistic Regression,Morgan,0,25,17,26
Logistic Regression,Morgan,1,8,86,19
Logistic Regression,Morgan,2,19,31,48
SVM,Morgan,0,19,17,32
SVM,Morgan,1,4,92,17
SVM,Morgan,2,15,32,51
Random Forest,Morgan,0,18,20,30
Random Forest,Morgan,1,4,95,14
Random Forest,Morgan,2,6,37,55
kNN,Morgan,0,10,57,1
kNN,Morgan,1,6,106,1
kNN,Morgan,2,13,72,13
MLP,Morgan,0,33,10,25
MLP,Morgan,1,15,84,14
MLP,Morgan,2,26,23,49
Logistic Regression,Avalon,0,30,19,19
Logistic Regression,Avalon,1,14,84,15
Logistic Regression,Avalon,2,14,29,55
SVM,Avalon,0,35,12,21
SVM,Avalon,1,10,87,16
SVM,Avalon,2,19,24,55
Random Forest,Avalon,0,24,13,31
Random Forest,Avalon,1,9,87,17
Random Forest,Avalon,2,14,28,56
kNN,Avalon,0,29,18,21
kNN,Avalon,1,27,69,17
kNN,Avalon,2,20,25,53
MLP,Avalon,0,31,15,22
MLP,Avalon,1,11,84,18
MLP,Avalon,2,21,21,56
Logistic Regression,MACCS,0,32,14,22
Logistic Regression,MACCS,1,7,87,19
Logistic Regression,MACCS,2,12,29,57
SVM,MACCS,0,27,15,26
SVM,MACCS,1,5,89,19
SVM,MACCS,2,7,24,67
Random Forest,MACCS,0,31,16,21
Random Forest,MACCS,1,6,92,15
Random Forest,MACCS,2,15,26,57
kNN,MACCS,0,29,19,20
kNN,MACCS,1,18,77,18
kNN,MACCS,2,21,33,44
MLP,MACCS,0,32,14,22
MLP,MACCS,1,7,88,18
MLP,MACCS,2,15,25,58
