Descriptor,Importance
JGI8,0.009076324790140915
ETA_dEpsilon_D,0.005609084012753375
nHBDon,0.005458433456677648
AATSC8i,0.004547685856825399
AATSC0v,0.004504444248458888
GATS1c,0.004318267350221122
nRot,0.004314876798208545
Kier2,0.0038781167938565647
AATSC3c,0.0035068964158205575
ATSC1c,0.0034619027050980457
MAXdssC,0.003412685225495974
MATS1c,0.003276876504577877
BCUTv-1h,0.003242574006797755
SlogP_VSA2,0.0032199461127254097
AATSC8p,0.0031591682512215323
AATS1i,0.0031358926177955573
SpDiam_Dzp,0.0030972058251904733
MATS1Z,0.002979129554547279
MINdssC,0.0028899491813763893
RotRatio,0.0028669554436294496
AATS2v,0.0028249011220563293
ATSC1are,0.0027781324889963087
AATSC4m,0.002752794679137426
BCUTZ-1h,0.002728233509691721
SlogP_VSA1,0.002702675012727052
AMID,0.0027015090735646417
ATSC3c,0.0026572562143057817
AETA_beta_s,0.0026523210910361764
AATS8i,0.00261421795610483
MATS2c,0.002565432771313643
AATS3i,0.0025103332833505045
GATS1p,0.002504021662507304
TopoPSA,0.0024816446667143832
AATS1p,0.0024365199706077346
AATSC1s,0.0024027145795179027
AETA_alpha,0.0023945369226525738
GATS1s,0.002337295529581059
GATS2c,0.002327797362427097
AATS3pe,0.0023219243414061993
MINsOH,0.002316978980945688
LogEE_Dzv,0.0023035862779044887
MATS3d,0.0022928343882242415
CIC1,0.0022727521955082613
MATS8i,0.002269222672426772
GATS1se,0.002266000740830462
ATSC1se,0.002265710544529682
piPC6,0.002264004580049983
ATSC1m,0.0022354412344089063
ATSC1Z,0.002233583504389124
GATS6i,0.0022013556777689246
MATS4i,0.0021690781435399604
Mi,0.002093222829538671
piPC2,0.0020844941344226302
ATS0Z,0.002075607879541619
AATSC1Z,0.0020697211211378537
AATSC7d,0.002054302612439373
GATS8i,0.002042195533028222
MATS8p,0.0020340565411339755
MATS3c,0.0020266035484865215
AATS0d,0.002011991012093366
GATS6m,0.0020066330709173933
GATS1m,0.0019989301034449083
ATSC5p,0.001995039764306801
MATS7d,0.001992286112009364
AATS0i,0.0019621082521710516
GATS8p,0.00195401505546441
SpMAD_DzZ,0.0019488030444785678
AATS1m,0.001941981637267187
MATS4m,0.0019351644952709513
AATSC4Z,0.0019262405669244643
AATSC0m,0.001925937395960065
MATS3p,0.0019221971388342519
AATS0v,0.0019102801328987101
AATSC2se,0.001890517092402452
GATS1Z,0.0018837602257342093
AATSC1m,0.00187071614765139
VE1_Dzp,0.0018612249426019902
AATSC3Z,0.0018252774954434431
GATS6Z,0.0018087221111765253
GATS5dv,0.0018025992882280645
ATSC2c,0.0018013113149625913
AATS1Z,0.0017958045512791456
GATS7d,0.0017860644543298597
fMF,0.0017855026662301813
BCUTp-1h,0.0017826014652785446
GATS5c,0.0017815464361132685
ZMIC2,0.0017797968042681908
SpAbs_A,0.0017793363375216977
AATS2are,0.0017777494092335719
GATS1are,0.001767893501184188
SpMAD_A,0.0017661348735994995
AATSC0p,0.0017506359322358258
IC4,0.001747205617780579
GATS4m,0.0017362575643421663
