Model,Descriptor,Representative_Best_Params
Logistic Regression,RDKit,"{""clf__C"": 10.0}"
SVM,RDKit,"{""clf__C"": 1, ""clf__gamma"": ""auto""}"
Random Forest,RDKit,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
kNN,RDKit,"{""clf__n_neighbors"": 3}"
MLP,RDKit,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
Logistic Regression,Mordred,"{""clf__C"": 0.01}"
SVM,Mordred,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
Random Forest,Mordred,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
kNN,Mordred,"{""clf__n_neighbors"": 3}"
MLP,Mordred,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50, 50]}"
Logistic Regression,Morgan,"{""clf__C"": 0.1}"
SVM,Morgan,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
Random Forest,Morgan,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
kNN,Morgan,"{""clf__n_neighbors"": 3}"
MLP,Morgan,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100]}"
Logistic Regression,Avalon,"{""clf__C"": 0.01}"
SVM,Avalon,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
Random Forest,Avalon,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
kNN,Avalon,"{""clf__n_neighbors"": 3}"
MLP,Avalon,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
Logistic Regression,MACCS,"{""clf__C"": 0.1}"
SVM,MACCS,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
Random Forest,MACCS,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
kNN,MACCS,"{""clf__n_neighbors"": 3}"
MLP,MACCS,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
