Model,Descriptor,Fold,Accuracy,Precision,Recall,F1,Params
Logistic Regression,RDKit,1,0.6428571428571429,0.6518005952380952,0.6428571428571429,0.6412994076941122,"{""clf__C"": 10.0}"
Logistic Regression,RDKit,2,0.6071428571428571,0.6045918367346939,0.6071428571428571,0.6046703296703296,"{""clf__C"": 10.0}"
Logistic Regression,RDKit,3,0.625,0.6260302197802198,0.625,0.6142052322988112,"{""clf__C"": 0.1}"
Logistic Regression,RDKit,4,0.5892857142857143,0.5943877551020408,0.5892857142857143,0.5915748318612755,"{""clf__C"": 1.0}"
Logistic Regression,RDKit,5,0.5454545454545454,0.5381408065618591,0.5454545454545454,0.5325234765234765,"{""clf__C"": 0.1}"
SVM,RDKit,1,0.625,0.6277901785714286,0.625,0.6102968460111317,"{""clf__C"": 1, ""clf__gamma"": ""auto""}"
SVM,RDKit,2,0.6785714285714286,0.6873376623376624,0.6785714285714286,0.680212300461875,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,RDKit,3,0.5892857142857143,0.6026785714285714,0.5892857142857143,0.5912982366470738,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,RDKit,4,0.625,0.640015360983103,0.625,0.6163361571043512,"{""clf__C"": 1, ""clf__gamma"": ""auto""}"
SVM,RDKit,5,0.6181818181818182,0.6190711462450593,0.6181818181818182,0.6102101471161128,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
Random Forest,RDKit,1,0.6607142857142857,0.674347158218126,0.6607142857142857,0.6537397787397788,"{""clf__max_depth"": 5, ""clf__n_estimators"": 200}"
Random Forest,RDKit,2,0.6785714285714286,0.7006973289868027,0.6785714285714286,0.6791156462585033,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,RDKit,3,0.6607142857142857,0.7056878306878307,0.6607142857142857,0.6529503105590061,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,RDKit,4,0.7321428571428571,0.7376055657305657,0.7321428571428571,0.7204832582383602,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,RDKit,5,0.6363636363636364,0.6625174825174825,0.6363636363636364,0.6196510560146923,"{""clf__max_depth"": 10, ""clf__n_estimators"": 100}"
kNN,RDKit,1,0.6071428571428571,0.6624310776942356,0.6071428571428571,0.6156994047619049,"{""clf__n_neighbors"": 3}"
kNN,RDKit,2,0.5892857142857143,0.6014030612244898,0.5892857142857143,0.5943181818181819,"{""clf__n_neighbors"": 5}"
kNN,RDKit,3,0.6785714285714286,0.6726710789210789,0.6785714285714286,0.66407012599148,"{""clf__n_neighbors"": 5}"
kNN,RDKit,4,0.625,0.6276164311878597,0.625,0.6177678255819826,"{""clf__n_neighbors"": 3}"
kNN,RDKit,5,0.509090909090909,0.5105263157894736,0.509090909090909,0.49728645338401434,"{""clf__n_neighbors"": 3}"
MLP,RDKit,1,0.625,0.6380208333333334,0.625,0.6274353957772887,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50, 50]}"
MLP,RDKit,2,0.6071428571428571,0.6045918367346939,0.6071428571428571,0.6046703296703296,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
