Model,Descriptor,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
Logistic Regression,Avalon,0.6055844155844156,0.053495321775337105,0.6119882300239443,0.06321285761460442,0.6055844155844156,0.053495321775337105,0.6013879112358989,0.05543301895889746
Logistic Regression,MACCS,0.6306493506493507,0.049989773789800324,0.6392132020278571,0.05156195019666016,0.6306493506493507,0.049989773789800324,0.6260328433402875,0.05375261343675388
Logistic Regression,Mordred,0.6455194805194806,0.067938806263619,0.6483268913626057,0.07265418411040371,0.6455194805194806,0.067938806263619,0.6436130088506312,0.06723519901284858
Logistic Regression,Morgan,0.5697402597402598,0.043804344846425036,0.559243656619433,0.04544760741403703,0.5697402597402598,0.043804344846425036,0.5585881567702852,0.044287969388248104
Logistic Regression,RDKit,0.601948051948052,0.03736235772812281,0.6029902426833817,0.04241258163125067,0.601948051948052,0.03736235772812281,0.596854655609601,0.0403231955633162
MLP,Avalon,0.6127272727272727,0.05315828491577182,0.6259714563687936,0.05646127358469518,0.6127272727272727,0.05315828491577182,0.6103372282895277,0.049767388233696704
MLP,MACCS,0.6379220779220779,0.0711644319192029,0.6413888280748146,0.0704904721877261,0.6379220779220779,0.0711644319192029,0.6304373281516795,0.08019629163073386
MLP,Mordred,0.623896103896104,0.10242737225935995,0.6315700970234339,0.10154009578832301,0.623896103896104,0.10242737225935995,0.624658160712353,0.10274705219095004
MLP,Morgan,0.595,0.08320738781956262,0.6056828350221208,0.09376712055669266,0.595,0.08320738781956262,0.5957995810240562,0.08784188521193673
MLP,RDKit,0.6164285714285714,0.027962255901519118,0.6189666411330371,0.03160632385972477,0.6164285714285714,0.027962255901519118,0.6145323021190178,0.030624535453632935
Random Forest,Avalon,0.5985064935064935,0.04877462013074664,0.6086738301543024,0.04990274045186951,0.5985064935064935,0.04877462013074664,0.5910379984681141,0.046884234811110606
Random Forest,MACCS,0.6448701298701298,0.06096180188102667,0.6518938277331134,0.06475175642926187,0.6448701298701298,0.06096180188102667,0.6394515242586011,0.06415244886163998
Random Forest,Mordred,0.6740259740259742,0.042925958132567325,0.685711847954134,0.03665566426753009,0.6740259740259742,0.042925958132567325,0.6688147765256206,0.04263975642872284
Random Forest,Morgan,0.602077922077922,0.05019810224214762,0.6137437150864873,0.04936549769982976,0.602077922077922,0.05019810224214762,0.5792391057537827,0.04994745637965837
Random Forest,RDKit,0.6737012987012987,0.035953302906412486,0.6961710732281616,0.029311773516616752,0.6737012987012987,0.035953302906412486,0.6651880099620682,0.03743654963517169
SVM,Avalon,0.6344155844155843,0.06859030387597521,0.6481572979619198,0.07476554879782042,0.6344155844155843,0.06859030387597521,0.6319053964658459,0.06595356454455784
SVM,MACCS,0.6557142857142858,0.08801234839150557,0.6585131073499444,0.07717149339281627,0.6557142857142858,0.08801234839150557,0.637327124404069,0.09737308301557963
SVM,Mordred,0.6383116883116884,0.06439916854609411,0.6434559129860886,0.06768595171960473,0.6383116883116884,0.06439916854609411,0.6331880217043677,0.0694231769145656
SVM,Morgan,0.5807792207792207,0.046808116251417765,0.586122226439983,0.06255256906544858,0.5807792207792207,0.046808116251417765,0.5614389276438098,0.04863872203325452
SVM,RDKit,0.6272077922077922,0.032278181618576166,0.6353785839131649,0.03207044109355838,0.6272077922077922,0.032278181618576166,0.621670737468109,0.03405426437916995
kNN,Avalon,0.5411688311688312,0.04164674567355988,0.5565009171297992,0.027755685445314437,0.5411688311688312,0.04164674567355988,0.5442416168809896,0.03476684677911756
kNN,MACCS,0.5375974025974026,0.023904351696331885,0.5453228982587863,0.03656225705548233,0.5375974025974026,0.023904351696331885,0.5343085598070286,0.03076500431444105
kNN,Mordred,0.5988311688311688,0.056754881250795274,0.6083279005075224,0.0658365195622374,0.5988311688311688,0.056754881250795274,0.60025143335307,0.058323139759386716
kNN,Morgan,0.46246753246753247,0.04389641608280596,0.5763328338328337,0.08964810733448672,0.46246753246753247,0.04389641608280596,0.3752388887417394,0.04851778800213506
kNN,RDKit,0.6018181818181818,0.06166891355979779,0.6149295929634275,0.06487379567650503,0.6018181818181818,0.06166891355979779,0.5978283983075128,0.06169668635162958
